assets,profitable_assets,median_return_pct,median_cagr_pct,median_mdd_pct,median_profit_factor,median_sharpe,total_trades,total_liquidations,family,timeframe,leverage,params,total_return_pct,cagr_pct,mdd_pct,profit_factor,sharpe,win_rate_pct,trades,liquidations,final_equity_krw,symbol
10,10,1146.2741090375607,36.74040563914393,-76.96689007677311,1.1619160729118971,0.847354231228552,1876,0,supertrend,4h,1.0,"{""mult"": 3.0, ""period"": 7}",1921.3593243867056,39.59628946186342,-48.483019131002216,1.3709529993342613,0.9931841090474031,38.56502242152467,223,0,202135932.43867058,BTCUSDT
10,10,1146.2741090375607,36.74040563914393,-76.96689007677311,1.1619160729118971,0.847354231228552,1876,0,supertrend,4h,1.0,"{""mult"": 3.0, ""period"": 7}",1287.168583164566,33.88452181642443,-70.93709101173043,1.1793618374238308,0.8065005540404485,33.18385650224215,223,0,138716858.3164566,ETHUSDT
10,10,1146.2741090375607,36.74040563914393,-76.96689007677311,1.1619160729118971,0.847354231228552,1876,0,supertrend,4h,1.0,"{""mult"": 3.0, ""period"": 7}",6721.338851261624,61.662205785522794,-75.7908448569921,1.2491459708182406,1.0486811505156715,42.465753424657535,219,0,682133885.1261624,BNBUSDT
10,10,1146.2741090375607,36.74040563914393,-76.96689007677311,1.1619160729118971,0.847354231228552,1876,0,supertrend,4h,1.0,"{""mult"": 3.0, ""period"": 7}",411.27683643436814,21.725232908021486,-82.51297631987727,1.1444703083999637,0.624022528315781,30.481283422459892,187,0,51127683.64343681,XRPUSDT
10,10,1146.2741090375607,36.74040563914393,-76.96689007677311,1.1619160729118971,0.847354231228552,1876,0,supertrend,4h,1.0,"{""mult"": 3.0, ""period"": 7}",630.914806486052,26.90966690454124,-74.15309770617598,1.1325859421135716,0.6896522937962635,35.858585858585855,198,0,73091480.6486052,ADAUSDT
10,10,1146.2741090375607,36.74040563914393,-76.96689007677311,1.1619160729118971,0.847354231228552,1876,0,supertrend,4h,1.0,"{""mult"": 3.0, ""period"": 7}",8055.514244560108,85.38298003860596,-82.5266808407255,1.253664966588218,1.045100904159154,37.76223776223776,143,0,815551424.4560108,DOGEUSDT
10,10,1146.2741090375607,36.74040563914393,-76.96689007677311,1.1619160729118971,0.847354231228552,1876,0,supertrend,4h,1.0,"{""mult"": 3.0, ""period"": 7}",620.0693093844191,29.67821234500676,-79.41542771862862,1.0910955828552438,0.7140121514460549,38.82978723404255,188,0,72006930.9384419,LINKUSDT
10,10,1146.2741090375607,36.74040563914393,-76.96689007677311,1.1619160729118971,0.847354231228552,1876,0,supertrend,4h,1.0,"{""mult"": 3.0, ""period"": 7}",8.693718602506761,0.9639614206272018,-81.86882991122427,1.0083758146958983,0.323661381710243,36.18090452261307,199,0,10869371.860250676,LTCUSDT
10,10,1146.2741090375607,36.74040563914393,-76.96689007677311,1.1619160729118971,0.847354231228552,1876,0,supertrend,4h,1.0,"{""mult"": 3.0, ""period"": 7}",1005.3796349105558,48.97449282017998,-77.33060797334737,1.1936665856451352,0.8882079084166555,36.075949367088604,158,0,110537963.49105558,SOLUSDT
10,10,1146.2741090375607,36.74040563914393,-76.96689007677311,1.1619160729118971,0.847354231228552,1876,0,supertrend,4h,1.0,"{""mult"": 3.0, ""period"": 7}",3031.2044219222853,79.04182225957778,-76.60317218019885,1.130378237903085,1.10969416527564,36.231884057971016,138,0,313120442.19222856,AVAXUSDT
10,9,3107.83780903681,57.16612474331417,-72.94768921293887,1.236031202056961,0.9864907045504709,1454,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 7}",5370.167101250994,55.90071458704096,-45.42072844560998,1.4362471351911128,1.2618595471281397,37.77777777777778,180,0,547016710.1250994,BTCUSDT
10,9,3107.83780903681,57.16612474331417,-72.94768921293887,1.236031202056961,0.9864907045504709,1454,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 7}",2385.5602708075503,42.83542353512435,-72.64405141301668,1.3069325710797508,0.9175359844914519,36.206896551724135,174,0,248556027.08075505,ETHUSDT
10,9,3107.83780903681,57.16612474331417,-72.94768921293887,1.236031202056961,0.9864907045504709,1454,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 7}",9764.03238424749,68.58931184811341,-72.04815817201352,1.4094187289766507,1.1128942202686407,43.373493975903614,166,0,986403238.424749,BNBUSDT
10,9,3107.83780903681,57.16612474331417,-72.94768921293887,1.236031202056961,0.9864907045504709,1454,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 7}",397.7462873301159,21.332521810779447,-78.84229058006036,1.1863768461556443,0.6213593505437971,30.82191780821918,146,0,49774628.73301159,XRPUSDT
10,9,3107.83780903681,57.16612474331417,-72.94768921293887,1.236031202056961,0.9864907045504709,1454,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 7}",1083.346266668325,34.45071158525166,-72.62330299341215,1.2162021763865067,0.7733148885712937,34.868421052631575,152,0,118334626.66683248,ADAUSDT
10,9,3107.83780903681,57.16612474331417,-72.94768921293887,1.236031202056961,0.9864907045504709,1454,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 7}",6015.960533652935,78.04968501000238,-79.1125313108358,1.2558602277274151,1.0061759201629599,40.869565217391305,115,0,611596053.3652935,DOGEUSDT
10,9,3107.83780903681,57.16612474331417,-72.94768921293887,1.236031202056961,0.9864907045504709,1454,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 7}",3196.564415312586,58.43153489958739,-64.27938811445502,1.2109433527020286,0.9668054889379819,37.857142857142854,140,0,329656441.5312586,LINKUSDT
10,9,3107.83780903681,57.16612474331417,-72.94768921293887,1.236031202056961,0.9864907045504709,1454,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 7}",-39.39620628408095,-5.600383105954521,-83.66675230321215,0.9385628568346693,0.22387239618111052,35.44303797468354,158,0,6060379.371591905,LTCUSDT
10,9,3107.83780903681,57.16612474331417,-72.94768921293887,1.236031202056961,0.9864907045504709,1454,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 7}",6747.790811572044,101.6072536168616,-73.25132701286105,1.3395053386087628,1.2365856939909003,38.59649122807017,114,0,684779081.1572044,SOLUSDT
10,9,3107.83780903681,57.16612474331417,-72.94768921293887,1.236031202056961,0.9864907045504709,1454,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 7}",3019.1112027610343,78.92468974065201,-81.34814712587163,1.143271398096647,1.109100926709822,33.94495412844037,109,0,311911120.27610344,AVAXUSDT
10,9,936.7187926158866,31.720222142083465,-82.88028529841685,1.1352881063293807,0.7557395608026403,3878,0,supertrend,4h,1.0,"{""mult"": 1.8, ""period"": 10}",1363.5932270659646,34.68361094307908,-64.70067687899792,1.160632037094669,0.8880805538171181,37.67123287671233,438,0,146359322.70659646,BTCUSDT
10,9,936.7187926158866,31.720222142083465,-82.88028529841685,1.1352881063293807,0.7557395608026403,3878,0,supertrend,4h,1.0,"{""mult"": 1.8, ""period"": 10}",1248.998074242167,33.47064864286049,-72.2076931247085,1.1914149112589971,0.7961604847472245,38.81278538812785,438,0,134899807.4242167,ETHUSDT
10,9,936.7187926158866,31.720222142083465,-82.88028529841685,1.1352881063293807,0.7557395608026403,3878,0,supertrend,4h,1.0,"{""mult"": 1.8, ""period"": 10}",27952.736390228376,89.87376646471859,-68.81931973652856,1.2815597844038256,1.3195386548553023,43.63207547169811,424,0,2805273639.0228376,BNBUSDT
10,9,936.7187926158866,31.720222142083465,-82.88028529841685,1.1352881063293807,0.7557395608026403,3878,0,supertrend,4h,1.0,"{""mult"": 1.8, ""period"": 10}",596.7810088386658,26.350887071921548,-80.96708158690042,1.1744330764381932,0.6789867174629084,34.183673469387756,392,0,69678100.88386658,XRPUSDT
10,9,936.7187926158866,31.720222142083465,-82.88028529841685,1.1352881063293807,0.7557395608026403,3878,0,supertrend,4h,1.0,"{""mult"": 1.8, ""period"": 10}",539.0754679605847,24.884454049465976,-85.35282928235088,1.0699440428326676,0.6637985028567488,36.56174334140436,413,0,63907546.79605847,ADAUSDT
10,9,936.7187926158866,31.720222142083465,-82.88028529841685,1.1352881063293807,0.7557395608026403,3878,0,supertrend,4h,1.0,"{""mult"": 1.8, ""period"": 10}",2641.91525564892,59.103105529021846,-84.79348900993328,1.1099441755640924,0.8953903454636383,33.85093167701863,322,0,274191525.564892,DOGEUSDT
10,9,936.7187926158866,31.720222142083465,-82.88028529841685,1.1352881063293807,0.7557395608026403,3878,0,supertrend,4h,1.0,"{""mult"": 1.8, ""period"": 10}",632.4600031028519,29.96979564130644,-85.53352325968592,1.0776328544474265,0.715318636858056,40.87403598971722,389,0,73246000.3102852,LINKUSDT
10,9,936.7187926158866,31.720222142083465,-82.88028529841685,1.1352881063293807,0.7557395608026403,3878,0,supertrend,4h,1.0,"{""mult"": 1.8, ""period"": 10}",-72.86321232803247,-13.937431224552377,-86.91486377175882,0.913600657406307,0.0664112001796438,38.85057471264368,435,0,2713678.767196752,LTCUSDT
10,9,936.7187926158866,31.720222142083465,-82.88028529841685,1.1352881063293807,0.7557395608026403,3878,0,supertrend,4h,1.0,"{""mult"": 1.8, ""period"": 10}",1240.9775821289213,53.826819488291065,-70.18255473442355,1.2144618062815529,0.9289892812330347,40.1294498381877,309,0,134097758.21289213,SOLUSDT
10,9,936.7187926158866,31.720222142083465,-82.88028529841685,1.1352881063293807,0.7557395608026403,3878,0,supertrend,4h,1.0,"{""mult"": 1.8, ""period"": 10}",24.409497752282803,3.7627840620361397,-92.68476252586879,1.0056894862279822,0.442422327556758,33.64779874213836,318,0,12440949.77522828,AVAXUSDT
10,9,1266.6678900160553,38.66251597529077,-82.46171049920267,1.1067765396643465,0.8221928895244746,2942,0,supertrend,4h,1.0,"{""mult"": 2.2, ""period"": 10}",2459.2468289119056,43.299201474052666,-54.14359182325283,1.250087815113098,1.0342073429530199,42.64264264264264,333,0,255924682.8911906,BTCUSDT
10,9,1266.6678900160553,38.66251597529077,-82.46171049920267,1.1067765396643465,0.8221928895244746,2942,0,supertrend,4h,1.0,"{""mult"": 2.2, ""period"": 10}",1850.5096129591993,39.044721321889384,-60.05917623965189,1.28719935320987,0.8663754080893152,37.53753753753754,333,0,195050961.29591992,ETHUSDT
10,9,1266.6678900160553,38.66251597529077,-82.46171049920267,1.1067765396643465,0.8221928895244746,2942,0,supertrend,4h,1.0,"{""mult"": 2.2, ""period"": 10}",44370.71759283433,100.0906763622762,-60.67700633757005,1.3831381756699481,1.3858415148203655,43.125,320,0,4447071759.283433,BNBUSDT
10,9,1266.6678900160553,38.66251597529077,-82.46171049920267,1.1067765396643465,0.8221928895244746,2942,0,supertrend,4h,1.0,"{""mult"": 2.2, ""period"": 10}",186.8468527232063,13.537361355632171,-82.60701439162544,1.093936046292007,0.5208328207803616,36.303630363036305,303,0,28684685.27232063,XRPUSDT
10,9,1266.6678900160553,38.66251597529077,-82.46171049920267,1.1067765396643465,0.8221928895244746,2942,0,supertrend,4h,1.0,"{""mult"": 2.2, ""period"": 10}",705.2477032757922,28.390824756209533,-82.75728737523877,1.1134236841154665,0.704650768592066,35.23809523809524,315,0,80524770.32757922,ADAUSDT
10,9,1266.6678900160553,38.66251597529077,-82.46171049920267,1.1067765396643465,0.8221928895244746,2942,0,supertrend,4h,1.0,"{""mult"": 2.2, ""period"": 10}",1828.0880767563183,51.4368328278451,-83.29586171922648,1.1001293952132267,0.8468090918062892,35.0,240,0,192808807.67563182,DOGEUSDT
10,9,1266.6678900160553,38.66251597529077,-82.46171049920267,1.1067765396643465,0.8221928895244746,2942,0,supertrend,4h,1.0,"{""mult"": 2.2, ""period"": 10}",671.124575916728,30.85291913117627,-84.00559624128684,1.069214228571501,0.724511389914267,37.666666666666664,300,0,77112457.5916728,LINKUSDT
10,9,1266.6678900160553,38.66251597529077,-82.46171049920267,1.1067765396643465,0.8221928895244746,2942,0,supertrend,4h,1.0,"{""mult"": 2.2, ""period"": 10}",-42.76538929916297,-6.219717198765851,-86.30423345792806,0.9591914176643954,0.20510052379157093,37.03703703703704,324,0,5723461.070083703,LTCUSDT
10,9,1266.6678900160553,38.66251597529077,-82.46171049920267,1.1067765396643465,0.8221928895244746,2942,0,supertrend,4h,1.0,"{""mult"": 2.2, ""period"": 10}",1841.4173825565906,63.56513516850082,-73.82843262683974,1.1998328237535658,0.9998793128395448,36.82008368200837,239,0,194141738.25565907,SOLUSDT
10,9,1266.6678900160553,38.66251597529077,-82.46171049920267,1.1067765396643465,0.8221928895244746,2942,0,supertrend,4h,1.0,"{""mult"": 2.2, ""period"": 10}",579.6905206550817,38.28031062869217,-82.3164066067799,1.0529723968749416,0.79757668724266,33.61702127659574,235,0,67969052.06550817,AVAXUSDT
10,10,1573.6737401342414,39.30439568545889,-78.57305599735254,1.1676831827386598,0.8426760562388789,2310,0,supertrend,4h,1.0,"{""mult"": 2.6, ""period"": 10}",2649.2219352431034,44.44228665450489,-56.06802785582221,1.317702554873969,1.050978310375744,40.6015037593985,266,0,274922193.52431035,BTCUSDT
10,10,1573.6737401342414,39.30439568545889,-78.57305599735254,1.1676831827386598,0.8426760562388789,2310,0,supertrend,4h,1.0,"{""mult"": 2.6, ""period"": 10}",2120.901148443242,41.06216411565402,-63.93753100093416,1.2707259914257707,0.8961360432220531,38.113207547169814,265,0,222090114.84432423,ETHUSDT
10,10,1573.6737401342414,39.30439568545889,-78.57305599735254,1.1676831827386598,0.8426760562388789,2310,0,supertrend,4h,1.0,"{""mult"": 2.6, ""period"": 10}",11623.449101345857,71.93394583916057,-75.79017629360185,1.3040606607839798,1.151723908751461,40.68441064638783,263,0,1172344910.1345859,BNBUSDT
10,10,1573.6737401342414,39.30439568545889,-78.57305599735254,1.1676831827386598,0.8426760562388789,2310,0,supertrend,4h,1.0,"{""mult"": 2.6, ""period"": 10}",213.8673683514712,14.775498416630262,-82.32827653824043,1.1023883792921294,0.537001607359884,33.90557939914164,233,0,31386736.83514712,XRPUSDT
10,10,1573.6737401342414,39.30439568545889,-78.57305599735254,1.1676831827386598,0.8426760562388789,2310,0,supertrend,4h,1.0,"{""mult"": 2.6, ""period"": 10}",201.63794429589785,14.141701831964815,-90.972687843161,1.0459820254994745,0.5323557433247091,35.546875,256,0,30163794.429589786,ADAUSDT
10,10,1573.6737401342414,39.30439568545889,-78.57305599735254,1.1676831827386598,0.8426760562388789,2310,0,supertrend,4h,1.0,"{""mult"": 2.6, ""period"": 10}",9557.929377653847,89.83153601017604,-79.61135890187866,1.2776405323409294,1.0738405484265394,37.91208791208791,182,0,965792937.7653848,DOGEUSDT
10,10,1573.6737401342414,39.30439568545889,-78.57305599735254,1.1676831827386598,0.8426760562388789,2310,0,supertrend,4h,1.0,"{""mult"": 2.6, ""period"": 10}",1026.4463318252406,37.546627255263765,-85.06157412652833,1.0721720115251738,0.7892160692557046,36.681222707423586,229,0,112644633.18252407,LINKUSDT
10,10,1573.6737401342414,39.30439568545889,-78.57305599735254,1.1676831827386598,0.8426760562388789,2310,0,supertrend,4h,1.0,"{""mult"": 2.6, ""period"": 10}",16.78075865570845,1.8012336164853204,-82.20182129471068,1.0113076444934057,0.33439141268564454,38.95582329317269,249,0,11678075.865570845,LTCUSDT
10,10,1573.6737401342414,39.30439568545889,-78.57305599735254,1.1676831827386598,0.8426760562388789,2310,0,supertrend,4h,1.0,"{""mult"": 2.6, ""period"": 10}",4782.336154884213,90.60425613448082,-71.61529365352474,1.2329779861851902,1.176974811914819,39.226519337016576,181,0,488233615.48842126,SOLUSDT
10,10,1573.6737401342414,39.30439568545889,-78.57305599735254,1.1676831827386598,0.8426760562388789,2310,0,supertrend,4h,1.0,"{""mult"": 2.6, ""period"": 10}",444.98216807686254,33.21001030307278,-77.53475309282642,1.0621296784070142,0.753159951446564,35.483870967741936,186,0,54498216.807686254,AVAXUSDT
10,9,1670.2056653364957,39.99532065836195,-79.01973994925092,1.1726222577716428,0.8790508676927322,1868,0,supertrend,4h,1.0,"{""mult"": 3.0, ""period"": 10}",2738.333399808153,44.95444847400394,-46.33104732623241,1.4386064094390045,1.0714928582960395,40.45454545454545,220,0,283833339.9808153,BTCUSDT
10,9,1670.2056653364957,39.99532065836195,-79.01973994925092,1.1726222577716428,0.8790508676927322,1868,0,supertrend,4h,1.0,"{""mult"": 3.0, ""period"": 10}",1398.4878751127044,35.03619284271995,-68.47719887164001,1.2443243348018875,0.8223548117714566,33.93665158371041,221,0,149848787.51127043,ETHUSDT
10,9,1670.2056653364957,39.99532065836195,-79.01973994925092,1.1726222577716428,0.8790508676927322,1868,0,supertrend,4h,1.0,"{""mult"": 3.0, ""period"": 10}",6246.063972192494,60.33953193978485,-75.92795010900116,1.280710406573012,1.0381929054150074,43.05555555555556,216,0,634606397.2192494,BNBUSDT
10,9,1670.2056653364957,39.99532065836195,-79.01973994925092,1.1726222577716428,0.8790508676927322,1868,0,supertrend,4h,1.0,"{""mult"": 3.0, ""period"": 10}",487.5029159085969,23.780490720214754,-83.3212131892371,1.1152789769966127,0.6493246561028755,31.351351351351354,185,0,58750291.59085969,XRPUSDT
10,9,1670.2056653364957,39.99532065836195,-79.01973994925092,1.1726222577716428,0.8790508676927322,1868,0,supertrend,4h,1.0,"{""mult"": 3.0, ""period"": 10}",353.87470620513193,19.868084844166646,-81.92016345084402,1.0793363037211663,0.604310589102719,36.633663366336634,202,0,45387470.62051319,ADAUSDT
10,9,1670.2056653364957,39.99532065836195,-79.01973994925092,1.1726222577716428,0.8790508676927322,1868,0,supertrend,4h,1.0,"{""mult"": 3.0, ""period"": 10}",3477.950284080013,65.15362604210462,-83.13566679451263,1.2746202372666577,0.9357469236140079,38.62068965517241,145,0,357795028.40800124,DOGEUSDT
10,9,1670.2056653364957,39.99532065836195,-79.01973994925092,1.1726222577716428,0.8790508676927322,1868,0,supertrend,4h,1.0,"{""mult"": 3.0, ""period"": 10}",493.7896186526124,26.427932707965596,-84.11110034157404,1.063472598638633,0.6816864384228174,37.17277486910995,191,0,59378961.865261234,LINKUSDT
10,9,1670.2056653364957,39.99532065836195,-79.01973994925092,1.1726222577716428,0.8790508676927322,1868,0,supertrend,4h,1.0,"{""mult"": 3.0, ""period"": 10}",-1.078495504046384,-0.12470880049459954,-84.13471396115489,0.998796852690715,0.30930143620696193,36.18090452261307,199,0,9892150.449595362,LTCUSDT
10,9,1670.2056653364957,39.99532065836195,-79.01973994925092,1.1726222577716428,0.8790508676927322,1868,0,supertrend,4h,1.0,"{""mult"": 3.0, ""period"": 10}",1941.9234555602873,64.94046544460818,-76.11931644765781,1.2127350606524345,1.0062379905199348,39.473684210526315,152,0,204192345.55602872,SOLUSDT
10,9,1670.2056653364957,39.99532065836195,-79.01973994925092,1.1726222577716428,0.8790508676927322,1868,0,supertrend,4h,1.0,"{""mult"": 3.0, ""period"": 10}",3480.083755557598,83.14462643671663,-73.80399108063,1.132509454890851,1.1388516525816648,36.496350364963504,137,0,358008375.5557598,AVAXUSDT
10,9,3268.3008740184723,53.28339750268758,-75.22788617271775,1.2675048875393755,1.005623308442353,1441,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 10}",2081.178659041866,40.779961164574054,-52.4222098585311,1.347164855251324,1.0323234326747897,38.20224719101123,178,0,218117865.90418658,BTCUSDT
10,9,3268.3008740184723,53.28339750268758,-75.22788617271775,1.2675048875393755,1.005623308442353,1441,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 10}",3303.1787369226577,47.90319136846517,-67.78768378698773,1.342728156415622,0.9789231842099163,38.69047619047619,168,0,340317873.6922658,ETHUSDT
10,9,3268.3008740184723,53.28339750268758,-75.22788617271775,1.2675048875393755,1.005623308442353,1441,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 10}",6974.470443415728,62.33365463539799,-76.94203535488778,1.3628981100331967,1.0580106344198934,40.93567251461988,171,0,707447044.3415729,BNBUSDT
10,9,3268.3008740184723,53.28339750268758,-75.22788617271775,1.2675048875393755,1.005623308442353,1441,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 10}",371.5717655091671,20.545409883905897,-85.86489882815607,1.205462196941151,0.6107987186965536,29.86111111111111,144,0,47157176.55091672,XRPUSDT
10,9,3268.3008740184723,53.28339750268758,-75.22788617271775,1.2675048875393755,1.005623308442353,1441,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 10}",1228.7788635149993,36.33085012609496,-73.61945861884259,1.240925980964719,0.7951195923656919,36.0,150,0,132877886.35149994,ADAUSDT
10,9,3268.3008740184723,53.28339750268758,-75.22788617271775,1.2675048875393755,1.005623308442353,1441,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 10}",10776.453565374422,93.02138180398019,-76.83631372659292,1.2940837941140322,1.0842492178443197,39.63963963963964,111,0,1087645356.5374422,DOGEUSDT
10,9,3268.3008740184723,53.28339750268758,-75.22788617271775,1.2675048875393755,1.005623308442353,1441,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 10}",3233.4230111142865,58.66360363690999,-71.5448789001005,1.2050111360081477,0.9687790348671808,38.84892086330935,139,0,333342301.1114286,LINKUSDT
10,9,3268.3008740184723,53.28339750268758,-75.22788617271775,1.2675048875393755,1.005623308442353,1441,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 10}",-73.50940474411063,-14.175792473062588,-88.4784467266628,0.8719123577428333,0.07060852199388643,35.36585365853659,164,0,2649059.5255889366,LTCUSDT
10,9,3268.3008740184723,53.28339750268758,-75.22788617271775,1.2675048875393755,1.005623308442353,1441,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 10}",11006.46368728313,118.44797236531078,-69.29764345982845,1.4142725147858979,1.3314464815389295,40.909090909090914,110,0,1110646368.728313,SOLUSDT
10,9,3268.3008740184723,53.28339750268758,-75.22788617271775,1.2675048875393755,1.005623308442353,1441,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 10}",5099.27146500563,95.07424509563207,-76.9679164147521,1.1810765456612469,1.2143137684608503,34.90566037735849,106,0,519927146.5005629,AVAXUSDT
10,8,489.80521314985026,26.762425640932353,-82.34343792065452,1.1130222408591925,0.6913339306291173,3934,0,supertrend,4h,1.0,"{""mult"": 1.8, ""period"": 14}",1344.4409496053204,34.48690383083473,-70.06811318868782,1.1600146275370395,0.8785910520560178,38.724373576309794,439,0,144444094.96053204,BTCUSDT
10,8,489.80521314985026,26.762425640932353,-82.34343792065452,1.1130222408591925,0.6913339306291173,3934,0,supertrend,4h,1.0,"{""mult"": 1.8, ""period"": 14}",977.281258255811,30.180811986731705,-77.8196523697193,1.1617544487647609,0.7532226323812488,39.189189189189186,444,0,107728125.8255811,ETHUSDT
10,8,489.80521314985026,26.762425640932353,-82.34343792065452,1.1130222408591925,0.6913339306291173,3934,0,supertrend,4h,1.0,"{""mult"": 1.8, ""period"": 14}",17381.798832248354,79.92905578501781,-61.94811911170406,1.1916287011837343,1.227334805170059,42.298850574712645,435,0,1748179883.2248356,BNBUSDT
10,8,489.80521314985026,26.762425640932353,-82.34343792065452,1.1130222408591925,0.6913339306291173,3934,0,supertrend,4h,1.0,"{""mult"": 1.8, ""period"": 14}",176.72340261974034,13.046927942290697,-81.81944985179277,1.0953694098072368,0.5121990720761783,35.73200992555831,403,0,27672340.261974037,XRPUSDT
10,8,489.80521314985026,26.762425640932353,-82.34343792065452,1.1130222408591925,0.6913339306291173,3934,0,supertrend,4h,1.0,"{""mult"": 1.8, ""period"": 14}",686.472048680837,28.028439641002613,-83.49338189104132,1.1076390386401787,0.7004639836509291,36.86746987951807,415,0,78647204.8680837,ADAUSDT
10,8,489.80521314985026,26.762425640932353,-82.34343792065452,1.1130222408591925,0.6913339306291173,3934,0,supertrend,4h,1.0,"{""mult"": 1.8, ""period"": 14}",3390.9086781786946,64.58418000050091,-82.86742598951628,1.1184054430782062,0.9293611761306093,35.80246913580247,324,0,349090867.8178695,DOGEUSDT
