assets,profitable_assets,median_return_pct,median_cagr_pct,median_mdd_pct,median_profit_factor,median_sharpe,total_trades,total_liquidations,family,timeframe,leverage,params,robust_ok
10,9,4219.024925115045,79.85879145805566,-89.7346954984597,1.0870882787538616,1.0708315656415912,1463,1,donchian,4h,2.0,"{""entry_n"": 40, ""exit_n"": 12}",False
10,9,4635.614460510864,78.50300252197107,-86.3593595683507,1.1155220849562915,1.0716007528353892,1463,1,donchian,4h,1.8,"{""entry_n"": 40, ""exit_n"": 12}",False
10,9,2999.5068596287074,77.52773937723849,-84.17773501194971,1.1688780903811131,1.0417056458519567,1544,1,donchian,4h,1.8,"{""entry_n"": 40, ""exit_n"": 10}",False
10,9,2892.6218501954454,76.31559979797973,-86.60881428718977,1.1393266134861686,1.0386947543738332,1544,1,donchian,4h,2.0,"{""entry_n"": 40, ""exit_n"": 10}",False
10,9,4801.574105629663,66.05932381159403,-89.53098072049093,1.1041596292484057,1.0107909981071153,1316,1,donchian,4h,1.8,"{""entry_n"": 40, ""exit_n"": 16}",False
10,9,5423.4080417912155,65.77222646614065,-87.27321204158625,1.1172526936030942,1.005992665926088,1380,1,donchian,1h,1.8,"{""entry_n"": 160, ""exit_n"": 80}",False
10,8,4766.630729434562,65.73857603938994,-90.42788058721695,1.0911429308267344,1.0125888167797266,1380,1,donchian,1h,2.0,"{""entry_n"": 160, ""exit_n"": 80}",False
10,9,3014.232149157423,61.42868996515047,-90.24308811387328,1.1034185630187408,0.9826183278301903,1454,0,supertrend,4h,1.6,"{""mult"": 3.5, ""period"": 7}",False
10,8,3190.055770468237,60.60607498895264,-92.34638248940489,1.0690927040105354,1.0047675815904697,1274,0,supertrend,4h,1.8,"{""mult"": 3.5, ""period"": 10}",False
10,7,2358.0389502275184,59.26506981220936,-94.53201631257934,1.0462361558991047,1.0032382694436595,1254,1,supertrend,4h,2.0,"{""mult"": 3.5, ""period"": 10}",False
10,7,3108.0566834797182,58.9641866358056,-93.45071046485256,1.0401559864299026,0.9855530808931958,1296,0,supertrend,4h,1.8,"{""mult"": 3.5, ""period"": 14}",False
10,9,3736.9388777587833,58.91999163872951,-90.12544706857415,1.0702742860562724,0.9869638654779682,1466,0,supertrend,4h,1.6,"{""mult"": 3.5, ""period"": 14}",False
10,7,2325.6730596726716,57.534579591214694,-95.60778886326082,1.0270727127182053,0.9836355125696943,1276,1,supertrend,4h,2.0,"{""mult"": 3.5, ""period"": 14}",False
10,9,2314.3649705375433,54.07477693048878,-93.18962254209943,1.0764503788835846,0.9649156958007549,1454,0,supertrend,4h,1.8,"{""mult"": 3.5, ""period"": 7}",False
10,8,2824.0328046191635,53.78520733287884,-90.11914863189027,1.0856772590828379,0.9545138046069358,2306,0,supertrend,4h,1.4,"{""mult"": 2.6, ""period"": 7}",False
10,8,2246.4442009123677,48.96651767637468,-93.58917807364901,1.064003961093064,0.9452275011054818,2306,0,supertrend,4h,1.6,"{""mult"": 2.6, ""period"": 7}",False
10,8,4323.478751227623,46.891855073797956,-93.58510038075721,1.0629571695055784,0.8863446593852747,1223,2,donchian,4h,2.0,"{""entry_n"": 40, ""exit_n"": 16}",False
10,7,1714.478798807775,44.974078051821266,-95.33690416620676,1.040937509452768,0.9479534298741141,1263,1,supertrend,4h,2.0,"{""mult"": 3.5, ""period"": 7}",False
10,8,970.6845555051325,37.28937588159651,-97.53294306786366,1.0420643078883582,0.9356608661934289,2306,0,supertrend,4h,1.8,"{""mult"": 2.6, ""period"": 7}",False
10,6,342.062510097671,25.30254758428938,-99.02683886159224,1.0098838629828326,0.8529623843603363,2013,1,supertrend,4h,2.0,"{""mult"": 2.6, ""period"": 7}",False
