assets,profitable_assets,median_return_pct,median_cagr_pct,median_mdd_pct,median_profit_factor,median_sharpe,total_trades,total_liquidations,family,timeframe,leverage,params,robust_ok,total_return_pct,cagr_pct,mdd_pct,profit_factor,sharpe,win_rate_pct,trades,liquidations,final_equity_krw,symbol
10,7,1714.478798807775,44.974078051821266,-95.33690416620676,1.040937509452768,0.9479534298741141,1263,1,supertrend,4h,2.0,"{""mult"": 3.5, ""period"": 7}",False,43521.84769519331,99.65248911320333,-90.16904468629967,1.1800267853557147,1.1718564271103895,43.373493975903614,166,0,4362184769.519331,BNBUSDT
10,7,1714.478798807775,44.974078051821266,-95.33690416620676,1.040937509452768,0.9479534298741141,1263,1,supertrend,4h,2.0,"{""mult"": 3.5, ""period"": 7}",False,-38.44430941798256,-5.678538674140587,-97.99293112411284,0.9797549753468144,0.5424531360069946,30.82191780821918,146,0,6155569.058201744,XRPUSDT
10,7,1714.478798807775,44.974078051821266,-95.33690416620676,1.040937509452768,0.9479534298741141,1263,1,supertrend,4h,2.0,"{""mult"": 3.5, ""period"": 7}",False,223.81527974955455,15.115994224584917,-94.43052969609114,1.0360229046589462,0.7235119458277826,34.868421052631575,152,0,32381527.974955454,ADAUSDT
10,7,1714.478798807775,44.974078051821266,-95.33690416620676,1.040937509452768,0.9479534298741141,1263,1,supertrend,4h,2.0,"{""mult"": 3.5, ""period"": 7}",False,7453.715803207541,83.40071823152937,-96.24327863632239,1.0640553701950952,1.078488917420264,40.869565217391305,115,0,755371580.320754,DOGEUSDT
10,7,1714.478798807775,44.974078051821266,-95.33690416620676,1.040937509452768,0.9479534298741141,1263,1,supertrend,4h,2.0,"{""mult"": 3.5, ""period"": 7}",False,2992.827694265501,57.106574580688864,-92.9749790204771,1.0458521142465897,1.0013890760736024,37.857142857142854,140,0,309282769.4265501,LINKUSDT
10,7,1714.478798807775,44.974078051821266,-95.33690416620676,1.040937509452768,0.9479534298741141,1263,1,supertrend,4h,2.0,"{""mult"": 3.5, ""period"": 7}",False,-100.0,-100.0,-100.0,0.6531972209502928,0.28159046915227187,38.57142857142858,140,1,0.0,LTCUSDT
10,7,1714.478798807775,44.974078051821266,-95.33690416620676,1.040937509452768,0.9479534298741141,1263,1,supertrend,4h,2.0,"{""mult"": 3.5, ""period"": 7}",False,6357.493072100644,99.65403847671968,-93.24701535214818,1.104525052689681,1.2007787064932982,38.59649122807017,114,0,645749307.2100644,SOLUSDT
10,7,1714.478798807775,44.974078051821266,-95.33690416620676,1.040937509452768,0.9479534298741141,1263,1,supertrend,4h,2.0,"{""mult"": 3.5, ""period"": 7}",False,436.129903350049,32.84158152295367,-97.1265449204784,1.0169629015521482,0.8945177836746258,33.94495412844037,109,0,53612990.3350049,AVAXUSDT
10,9,3268.3008740184723,53.28339750268758,-75.22788617271775,1.2675048875393755,1.005623308442353,1441,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 10}",True,2081.178659041866,40.779961164574054,-52.4222098585311,1.347164855251324,1.0323234326747897,38.20224719101123,178,0,218117865.90418658,BTCUSDT
10,9,3268.3008740184723,53.28339750268758,-75.22788617271775,1.2675048875393755,1.005623308442353,1441,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 10}",True,3303.1787369226577,47.90319136846517,-67.78768378698773,1.342728156415622,0.9789231842099163,38.69047619047619,168,0,340317873.6922658,ETHUSDT
