assets,profitable_assets,median_return_pct,median_cagr_pct,median_mdd_pct,median_profit_factor,median_sharpe,total_trades,entry_n,exit_n,ema_n,strong_threshold,base_exposure,strong_exposure,part,train_rank,train_cagr_pct,train_mdd_pct,mdd35_ok,total_return_pct,cagr_pct,mdd_pct,profit_factor,sharpe,win_rate_pct,trades,liquidations,final_equity_krw,symbol
10,9,26.579382216438106,10.906653957451805,-22.9499378616781,1.7151347536200339,0.7349281668639365,344,160,30,400,1.05,0.5,0.75,oos,6,26.630200515738466,-43.8534035090552,True,6.298100866609624,3.5043697930280393,-15.803842680844959,1.31205069468749,0.30091914381380847,46.666666666666664,15,0,10629810.086660963,AVAXUSDT
10,9,26.18554263080779,10.558863124853278,-22.843256657870747,1.7239832005580675,0.7218850011602675,344,160,30,400,1.05,0.35,0.75,oos,7,26.435055348144864,-43.79216527129697,True,32.61533799908292,11.023792796096599,-22.310108510746517,1.8740439190825915,0.8397515637006011,33.33333333333333,51,0,13261533.799908292,BTCUSDT
10,9,26.18554263080779,10.558863124853278,-22.843256657870747,1.7239832005580675,0.7218850011602675,344,160,30,400,1.05,0.35,0.75,oos,7,26.435055348144864,-43.79216527129697,True,48.52116795074932,15.78190249045306,-18.78446406568558,1.7707939231228695,0.9603591861596953,37.77777777777778,45,0,14852116.795074932,ETHUSDT
10,9,26.18554263080779,10.558863124853278,-22.843256657870747,1.7239832005580675,0.7218850011602675,344,160,30,400,1.05,0.35,0.75,oos,7,26.435055348144864,-43.79216527129697,True,2.490888283213444,0.9387916657404238,-25.726762545377902,1.042181394791916,0.13877433647126985,30.357142857142854,56,0,10249088.828321345,BNBUSDT
10,9,26.18554263080779,10.558863124853278,-22.843256657870747,1.7239832005580675,0.7218850011602675,344,160,30,400,1.05,0.35,0.75,oos,7,26.435055348144864,-43.79216527129697,True,198.8185617297966,55.29357507256529,-22.70883393378029,2.829448352720852,1.6531500275746946,43.333333333333336,30,0,29881856.17297966,XRPUSDT
10,9,26.18554263080779,10.558863124853278,-22.843256657870747,1.7239832005580675,0.7218850011602675,344,160,30,400,1.05,0.35,0.75,oos,7,26.435055348144864,-43.79216527129697,True,97.67575666258747,31.31820583334477,-22.977679381961202,3.2591357941379937,1.1786633889481442,52.17391304347826,23,0,19767575.66625875,ADAUSDT
10,9,26.18554263080779,10.558863124853278,-22.843256657870747,1.7239832005580675,0.7218850011602675,344,160,30,400,1.05,0.35,0.75,oos,7,26.435055348144864,-43.79216527129697,True,137.4879283373179,49.87162454562228,-23.357572543444384,3.0853523296737584,1.5166076692355717,50.0,28,0,23748792.833731793,DOGEUSDT
10,9,26.18554263080779,10.558863124853278,-22.843256657870747,1.7239832005580675,0.7218850011602675,344,160,30,400,1.05,0.35,0.75,oos,7,26.435055348144864,-43.79216527129697,True,19.755747262532665,8.240255473220248,-23.440748975144675,1.3167587348803738,0.43802011731414736,34.285714285714285,35,0,11975574.726253267,LINKUSDT
10,9,26.18554263080779,10.558863124853278,-22.843256657870747,1.7239832005580675,0.7218850011602675,344,160,30,400,1.05,0.35,0.75,oos,7,26.435055348144864,-43.79216527129697,True,-18.198447187271793,-7.427530131455318,-45.6732326419078,0.7737468195456374,-0.19290624376877033,35.13513513513514,37,0,8180155.281272821,LTCUSDT
10,9,26.18554263080779,10.558863124853278,-22.843256657870747,1.7239832005580675,0.7218850011602675,344,160,30,400,1.05,0.35,0.75,oos,7,26.435055348144864,-43.79216527129697,True,18.98598412977217,10.09393345360996,-21.772521483439387,1.6771724779932655,0.6040184386199339,37.5,24,0,11898598.412977217,SOLUSDT
10,9,26.18554263080779,10.558863124853278,-22.843256657870747,1.7239832005580675,0.7218850011602675,344,160,30,400,1.05,0.35,0.75,oos,7,26.435055348144864,-43.79216527129697,True,5.8599947668628305,3.263582757086936,-15.9535031586733,1.29723211401039,0.2866719069171205,46.666666666666664,15,0,10585999.476686282,AVAXUSDT
10,7,27.649919830692014,10.499991149511047,-26.385259461680015,1.5927077428822185,0.6169074960338765,322,200,40,400,1.05,0.35,0.75,oos,8,26.405983556100566,-44.696251753532806,True,24.00315328709621,8.296163340923691,-22.081359315473904,1.6671028530799323,0.6478054333066301,34.78260869565217,46,0,12400315.328709621,BTCUSDT
10,7,27.649919830692014,10.499991149511047,-26.385259461680015,1.5927077428822185,0.6169074960338765,322,200,40,400,1.05,0.35,0.75,oos,8,26.405983556100566,-44.696251753532806,True,40.96662008853129,13.564237993594652,-19.125607485558692,1.6123668212533606,0.8356919115375044,37.5,40,0,14096662.008853128,ETHUSDT
10,7,27.649919830692014,10.499991149511047,-26.385259461680015,1.5927077428822185,0.6169074960338765,322,200,40,400,1.05,0.35,0.75,oos,8,26.405983556100566,-44.696251753532806,True,-8.234150019380948,-3.210814662087491,-28.52907886590271,0.8627866851361613,-0.1129943860417196,29.629629629629626,54,0,9176584.998061905,BNBUSDT
10,7,27.649919830692014,10.499991149511047,-26.385259461680015,1.5927077428822185,0.6169074960338765,322,200,40,400,1.05,0.35,0.75,oos,8,26.405983556100566,-44.696251753532806,True,165.14045994391512,48.00373253439296,-28.149305705650107,2.5578075932634077,1.4885091065369978,34.48275862068966,29,0,26514045.994391512,XRPUSDT
10,7,27.649919830692014,10.499991149511047,-26.385259461680015,1.5927077428822185,0.6169074960338765,322,200,40,400,1.05,0.35,0.75,oos,8,26.405983556100566,-44.696251753532806,True,56.116756510140696,19.493127137077693,-32.333626819204966,2.13075070736436,0.7878289806127846,45.83333333333333,24,0,15611675.65101407,ADAUSDT
10,7,27.649919830692014,10.499991149511047,-26.385259461680015,1.5927077428822185,0.6169074960338765,322,200,40,400,1.05,0.35,0.75,oos,8,26.405983556100566,-44.696251753532806,True,92.83510802142274,35.958302922770024,-33.74076368569234,1.9244983797217523,1.1573783816709269,40.74074074074074,27,0,19283510.802142274,DOGEUSDT
10,7,27.649919830692014,10.499991149511047,-26.385259461680015,1.5927077428822185,0.6169074960338765,322,200,40,400,1.05,0.35,0.75,oos,8,26.405983556100566,-44.696251753532806,True,31.29668637428782,12.7038189580984,-23.791412777554154,1.5730486645110764,0.586009558761123,32.25806451612903,31,0,13129668.637428783,LINKUSDT
10,7,27.649919830692014,10.499991149511047,-26.385259461680015,1.5927077428822185,0.6169074960338765,322,200,40,400,1.05,0.35,0.75,oos,8,26.405983556100566,-44.696251753532806,True,-18.076204431137853,-7.3744030690228835,-49.78814451888761,0.7890689873024922,-0.16437773531451896,35.294117647058826,34,0,8192379.556886215,LTCUSDT
10,7,27.649919830692014,10.499991149511047,-26.385259461680015,1.5927077428822185,0.6169074960338765,322,200,40,400,1.05,0.35,0.75,oos,8,26.405983556100566,-44.696251753532806,True,8.069590383091562,4.386510752920447,-24.621213217709926,1.25824174032084,0.3211255281114179,31.818181818181817,22,0,10806959.038309157,SOLUSDT
10,7,27.649919830692014,10.499991149511047,-26.385259461680015,1.5927077428822185,0.6169074960338765,322,200,40,400,1.05,0.35,0.75,oos,8,26.405983556100566,-44.696251753532806,True,-4.363119710090646,-2.4844291313808275,-23.845085101094853,0.8426261472934973,-0.08700798115190127,40.0,15,0,9563688.028990936,AVAXUSDT
