assets,profitable_assets,median_return_pct,median_cagr_pct,median_mdd_pct,median_profit_factor,median_sharpe,total_trades,entry_n,exit_n,ema_n,strong_threshold,base_exposure,strong_exposure,part,train_ok
10,10,579.0599731821728,35.94393801403678,-62.58043151442563,1.4479464317476147,0.9620303825926588,880,200,40,300,1.05,0.35,1.0,train,False
10,10,595.4794596610199,35.79388747227436,-52.69983671237114,1.4598806138954448,1.0289142418628663,937,160,40,300,1.1,0.35,1.0,train,False
10,10,582.7427617076428,35.56434676496164,-51.274508413911484,1.4868862260803524,1.016537208440472,888,160,40,400,1.1,0.35,1.0,train,False
10,10,553.6201399737016,34.70190628951121,-55.250214432958906,1.425963974148074,1.0263009243290337,971,160,30,400,1.05,0.5,1.0,train,False
10,10,530.1115504198343,34.49826945685375,-55.200944941563534,1.4257127188188128,1.0216813207145354,971,160,30,400,1.05,0.35,1.0,train,False
10,10,544.5239317181849,34.31751830048229,-55.669323956120024,1.4533505862984626,0.9800431417813233,829,200,40,400,1.05,0.5,1.0,train,False
10,10,528.8315334419023,33.79190666371365,-55.7284414960163,1.471810671150307,0.9775560455091894,829,200,40,400,1.05,0.35,1.0,train,False
10,10,532.0405578580792,33.780957075039076,-56.27101664903951,1.4363266812587088,0.9369986499683827,880,200,40,300,1.1,0.5,1.0,train,False
10,10,525.574598111382,33.71414974945982,-55.76696909907835,1.4462034264743147,1.0137359636428624,1018,160,30,300,1.1,0.5,1.0,train,False
10,10,511.9616709877159,33.70659658188838,-56.59563242894815,1.4360897788474762,1.0116408324765889,971,160,30,400,1.1,0.5,1.0,train,False
10,10,502.13987938767184,33.31418814644816,-56.688517884021216,1.429934115197294,0.9657997839049695,956,200,30,300,1.05,0.5,1.0,train,False
10,10,513.7469634154652,33.29595008390649,-52.91475723726495,1.4652815040785323,0.9532764443191317,829,200,40,400,1.1,0.5,1.0,train,False
10,10,476.8895855397191,33.14461119339895,-57.04838394188411,1.434992595199202,0.9981718422092534,971,160,30,400,1.1,0.35,1.0,train,False
10,9,483.0457808955366,32.6450331666466,-57.66615879593788,1.4158141173091479,0.9495747335581095,956,200,30,300,1.05,0.35,1.0,train,False
10,10,497.8945026671614,32.52192675553353,-47.47183491040528,1.5722675006412374,1.0864283539642625,937,160,40,300,1.05,0.5,0.75,train,False
10,10,488.52835330589517,32.412395336984645,-52.67786430423064,1.481462579772224,0.9395744349349489,829,200,40,400,1.1,0.35,1.0,train,False
10,10,496.5290338838864,32.390874184130034,-47.76595938861291,1.5807147006226252,1.0824535972602645,937,160,40,300,1.05,0.35,0.75,train,False
10,10,486.9180041778768,32.22379946439391,-56.49624628859895,1.4390154795270624,0.922816589655491,880,200,40,300,1.1,0.35,1.0,train,False
10,10,469.84097410824927,32.09827162615092,-52.515883084613385,1.4010039946264707,0.9432865592897699,908,200,30,400,1.05,0.5,1.0,train,False
10,10,482.4512169652621,32.082736983716956,-56.627091931791284,1.4296007446801435,0.9844535498379126,1018,160,30,300,1.1,0.35,1.0,train,False
10,10,463.8073317280305,31.83086456426664,-52.34971158691746,1.3998772703712028,0.9470447016554615,908,200,30,400,1.05,0.35,1.0,train,False
10,10,433.08533772966143,30.780619594527835,-53.389151134709444,1.4049604376997318,0.910997746540852,908,200,30,400,1.1,0.5,1.0,train,False
10,10,446.22562884295667,30.634019735290387,-54.42758314192473,1.410105094121357,0.9205295506031208,956,200,30,300,1.1,0.5,1.0,train,False
10,10,414.97977217429593,30.058246553171795,-53.92423069527492,1.4113695362970455,0.9017961461119219,908,200,30,400,1.1,0.35,1.0,train,False
