assets,profitable_assets,median_return_pct,median_cagr_pct,median_mdd_pct,median_profit_factor,median_sharpe,total_trades,total_liquidations,entry_n,exit_n,ema_n,leverage,part,eligible
10,10,955.8381846357388,47.26883430323142,-55.66841481668642,1.5032633686154107,1.0583562153024726,1959,0,200,60,200,0.8,train,True
10,10,1141.6549187848814,49.45390076064491,-55.67538519503502,1.5110563679190614,1.166548990538022,2639,0,120,60,400,0.8,train,True
10,9,247.38355958232708,26.45354865873555,-55.76555590321081,1.2785236275652445,0.7844888272742851,4225,0,80,30,100,0.65,train,True
10,9,490.96569139420086,35.479784192313446,-56.00033136449302,1.3694904708266562,0.9619710682156322,2403,0,120,30,300,0.8,train,True
10,10,778.8193659796453,47.99853629979421,-56.165890610628246,1.4071773075921514,1.0036773676378332,3772,0,200,60,100,0.8,train,True
10,9,468.84486436739905,33.74982501713237,-56.193016619728034,1.3489832469673522,0.953639103834313,2352,0,120,30,200,0.8,train,True
10,10,569.6681773385973,44.774447151965575,-56.27853005925919,1.352336770664651,1.0021137855392013,2460,0,160,30,100,1.0,train,True
10,10,982.7707236855083,50.041799110502666,-56.336749720704006,1.366872607273944,1.074524283785474,3866,0,80,60,300,0.8,train,True
10,10,998.7368166097524,49.678267960104115,-56.43548786639383,1.3289860051549969,1.1309426781879166,4009,0,120,80,200,0.8,train,True
10,9,422.748300028265,36.93594782517327,-56.49681726073854,1.2883170031563176,0.969515998244808,2997,0,120,30,100,0.8,train,True
10,9,749.2669333403235,45.76848613088438,-56.5275036163149,1.3211515057381964,1.013044504887695,3891,0,80,40,200,0.8,train,True
10,9,777.8792719165479,41.00380931056925,-56.602121413658764,1.4032126866175014,1.1168077043911362,2501,0,120,40,300,0.8,train,True
10,9,1163.909634603133,54.268725493146746,-56.6200758939897,1.2617027222424675,1.104502322589553,6121,0,120,80,100,0.8,train,True
10,10,1441.5592715467205,65.19065822717847,-56.821588006574586,1.3101363423449248,1.0544036255233231,4638,0,200,80,100,1.0,train,True
10,10,1235.5803785980802,55.11278287711838,-57.03576437554848,1.4747947324305275,1.1647796804477977,3360,0,120,80,300,0.8,train,True
10,10,774.332299772507,46.01577431114792,-57.422432810790426,1.443277895674884,1.0827256817574331,1903,0,160,30,400,1.0,train,True
10,10,1025.7508157356679,46.513796120435984,-57.52382724229872,1.3781496283333952,1.1545134501193466,3235,0,120,60,200,0.8,train,True
10,10,1698.2950168733732,60.695844080962424,-57.63437343922592,1.421172683761252,1.0543306148188158,2101,0,200,80,300,1.0,train,True
10,10,975.4637998454327,47.67779149009722,-57.645444828601484,1.485362414173145,1.1517733380449031,2822,0,120,60,300,0.8,train,True
10,9,1863.336216200842,68.06661084043789,-57.7951608956355,1.2941435725767652,1.1355515280821715,5169,0,160,80,100,1.0,train,True
10,9,825.0848493613034,41.98777857791853,-57.96369450200821,1.3829632025025937,1.122348975247223,2566,0,120,40,200,0.8,train,True
10,10,2238.421663935334,71.35483727367927,-58.088479857453166,1.448032083468843,1.1072153194348948,2351,0,160,80,400,1.0,train,True
10,10,621.261715334676,42.00086031496767,-58.47938727810125,1.4363549145982952,1.0234319602546331,1807,0,160,30,200,1.0,train,True
10,9,566.7678773851229,44.68314974321347,-58.48933801641799,1.2982082852772505,1.046819087842436,3776,0,120,40,100,0.8,train,True
10,10,1786.2749199937994,62.035644542388496,-58.495629245941785,1.5026501203467064,1.1221377263659653,2118,0,160,60,300,1.0,train,True
10,9,509.2217186776066,34.3135516537519,-58.621192631788134,1.2575883940378696,0.9064052534005178,6795,0,80,60,100,0.65,train,True
10,10,775.5535430032594,42.112479748849424,-58.708079082324474,1.4215570821178196,1.03665288847465,1834,0,160,30,300,1.0,train,True
