symbol,strategy,timeframe,leverage,data_start,data_end,bars,total_return_pct,cagr_pct,mdd_pct,profit_factor,sharpe,win_rate_pct,trades,liquidations,final_equity_krw
BNBUSDT,Donchian 80/40,1h,2.0,2017-11-06 03:00:00+00:00,2026-08-21 23:00:00+00:00,76939,34092.43736891067,94.19703756973811,-82.95624778084114,1.1356272446450324,1.1471191168059607,40.0,315,0,3419243736.8910675
XRPUSDT,"Supertrend 10,3",4h,1.0,2018-05-04 08:00:00+00:00,2026-08-21 20:00:00+00:00,18181,487.5029159085969,23.780490720214754,-83.3212131892371,1.1152789769966127,0.6493246561028755,31.351351351351354,185,0,58750291.59085969
XRPUSDT,Donchian 20/10,4h,1.0,2018-05-04 08:00:00+00:00,2026-08-21 20:00:00+00:00,18181,2740.350414294603,49.660016009121534,-61.696315830106464,1.4094935022734931,0.9547016650563653,33.63636363636363,220,0,284035041.4294603
XRPUSDT,Donchian 20/10,4h,2.0,2018-05-04 08:00:00+00:00,2026-08-21 20:00:00+00:00,18181,2664.2946377884427,49.17140824534574,-89.60226803054667,1.1733945663720768,0.8987946775087944,33.63636363636363,220,0,276429463.7788443
XRPUSDT,"Supertrend 40,3",1h,1.0,2018-05-04 08:00:00+00:00,2026-08-21 23:00:00+00:00,72672,11.094167559301283,1.2755865530603039,-84.90565943619968,1.0108708810756226,0.35869216859383396,34.538653366583546,802,0,11109416.755930128
XRPUSDT,Donchian 80/40,1h,1.0,2018-05-04 08:00:00+00:00,2026-08-21 23:00:00+00:00,72672,1001.0021503409268,33.50944766957562,-70.46404841801407,1.281588151241817,0.7693432578824336,30.855018587360593,269,0,110100215.03409268
XRPUSDT,Donchian 80/40,1h,2.0,2018-05-04 08:00:00+00:00,2026-08-21 23:00:00+00:00,72672,242.99428710608794,16.008552538292207,-94.15773968000475,1.0650563163341857,0.7075658213204296,30.855018587360593,269,0,34299428.710608795
ADAUSDT,"Supertrend 10,3",4h,1.0,2018-04-17 04:00:00+00:00,2026-08-21 20:00:00+00:00,18284,353.87470620513193,19.868084844166646,-81.92016345084402,1.0793363037211663,0.604310589102719,36.633663366336634,202,0,45387470.62051319
ADAUSDT,Donchian 20/10,4h,1.0,2018-04-17 04:00:00+00:00,2026-08-21 20:00:00+00:00,18284,207.5617701392984,14.407963125001544,-80.24959964847935,1.0802462892384392,0.5258521141475708,34.63035019455253,257,0,30756177.01392984
ADAUSDT,Donchian 20/10,4h,2.0,2018-04-17 04:00:00+00:00,2026-08-21 20:00:00+00:00,18284,-17.97938236797171,-2.3465403002155827,-98.47965097516264,0.9964512808915172,0.5474019632969351,34.63035019455253,257,0,8202061.763202829
ADAUSDT,"Supertrend 40,3",1h,1.0,2018-04-17 04:00:00+00:00,2026-08-21 23:00:00+00:00,73084,197.5650392438675,13.955341336091198,-84.70483883727033,1.0399900374975342,0.5391434021483594,37.36128236744759,811,0,29756503.924386747
