single,pair_total,ultra,p1,p2,trail,edge,max_total,start,end,return_pct,multiple,mdd_pct,liquidated
1.0,1.2,1.5,1.25,1.75,0.12,0.035,2.5,2018-06-30 00:00:00+00:00,2020-06-29 00:00:00+00:00,-8.358429808202706,0.916415701917973,-48.06089915999138,0
1.0,1.2,1.5,1.25,1.75,0.12,0.035,2.5,2018-12-27 00:00:00+00:00,2020-12-26 00:00:00+00:00,84.04266530388884,1.8404266530388884,-48.06089915999161,0
1.0,1.2,1.5,1.25,1.75,0.12,0.035,2.5,2019-06-25 00:00:00+00:00,2021-06-24 00:00:00+00:00,4438.846126500731,45.38846126500731,-48.06089915999129,0
1.0,1.2,1.5,1.25,1.75,0.12,0.035,2.5,2019-12-22 00:00:00+00:00,2021-12-21 00:00:00+00:00,6440.372856197559,65.40372856197558,-48.79390826349409,0
1.0,1.2,1.5,1.25,1.75,0.12,0.035,2.5,2020-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,8740.724010270851,88.40724010270851,-49.43454802786389,0
1.0,1.2,1.5,1.25,1.75,0.12,0.035,2.5,2020-12-16 00:00:00+00:00,2022-12-16 00:00:00+00:00,2171.293396271792,22.71293396271792,-60.257962138639655,0
1.0,1.2,1.5,1.25,1.75,0.12,0.035,2.5,2021-06-14 00:00:00+00:00,2023-06-14 00:00:00+00:00,6.355210996392713,1.0635521099639271,-59.73695239358206,0
1.0,1.2,1.5,1.25,1.75,0.12,0.035,2.5,2021-12-11 00:00:00+00:00,2023-12-11 00:00:00+00:00,-5.324566450914858,0.9467543354908514,-54.13709036487392,0
1.0,1.2,1.5,1.25,1.75,0.12,0.035,2.5,2022-06-09 00:00:00+00:00,2024-06-08 00:00:00+00:00,-0.37467784693605566,0.9962532215306394,-43.809134585524234,0
1.0,1.2,1.5,1.25,1.75,0.12,0.035,2.5,2022-12-06 00:00:00+00:00,2024-12-05 00:00:00+00:00,183.90320329569204,2.8390320329569203,-45.10638587053769,0
1.0,1.2,1.5,1.25,1.75,0.12,0.035,2.5,2023-06-04 00:00:00+00:00,2025-06-03 00:00:00+00:00,144.47922500801772,2.444792250080177,-45.10638587053766,0
1.0,1.2,1.5,1.25,1.75,0.12,0.035,2.5,2023-12-01 00:00:00+00:00,2025-11-30 00:00:00+00:00,129.25550608601864,2.2925550608601863,-52.083182525661,0
