assets,profitable_assets,median_return_pct,median_cagr_pct,median_mdd_pct,median_profit_factor,median_sharpe,total_trades,total_liquidations,entry_n,exit_n,leverage,robust_train,total_return_pct,cagr_pct,mdd_pct,profit_factor,sharpe,win_rate_pct,trades,liquidations,final_equity_krw,symbol
10,9,1980.8375983842238,64.89608588298347,-63.99377375831674,1.452707959744222,1.1755556598520747,1149,0,120,70,1.0,True,7563.096391970607,102.31124513031347,-59.133563085826204,1.4832874339160684,1.3210235873923153,41.911764705882355,136,0,766309639.1970608,BNBUSDT
10,9,1980.8375983842238,64.89608588298347,-63.99377375831674,1.452707959744222,1.1755556598520747,1149,0,120,70,1.0,True,348.8303419382313,29.47135722936767,-66.82821509497165,1.1742159456631682,0.7189604731568868,36.93693693693694,111,0,44883034.19382313,XRPUSDT
10,9,1980.8375983842238,64.89608588298347,-63.99377375831674,1.452707959744222,1.1755556598520747,1149,0,120,70,1.0,True,1970.6951193097912,67.93104309434317,-60.7686790407914,1.422128485572376,1.0910873962807317,43.44262295081967,122,0,207069511.9309791,ADAUSDT
10,9,1980.8375983842238,64.89608588298347,-63.99377375831674,1.452707959744222,1.1755556598520747,1149,0,120,70,1.0,True,14942.736435861423,172.9500895695745,-70.25296605024518,1.5752509632786653,1.4550671649995783,40.44943820224719,89,0,1504273643.5861423,DOGEUSDT
10,9,1980.8375983842238,64.89608588298347,-63.99377375831674,1.452707959744222,1.1755556598520747,1149,0,120,70,1.0,True,803.837192772159,51.26283886494232,-73.95189616327048,1.182580271119531,0.9190297725671072,37.81512605042017,119,0,90383719.2772159,LINKUSDT
10,9,1980.8375983842238,64.89608588298347,-63.99377375831674,1.452707959744222,1.1755556598520747,1149,0,120,70,1.0,True,-61.26772693947434,-14.429356448370212,-82.91825711555845,0.823242956671383,0.0820621550718255,37.69230769230769,130,0,3873227.3060525656,LTCUSDT
10,9,1980.8375983842238,64.89608588298347,-63.99377375831674,1.452707959744222,1.1755556598520747,1149,0,120,70,1.0,True,14459.452262905432,225.50868337144263,-46.50256852084974,1.800138709042261,1.7561375773839205,49.42528735632184,87,0,1455945226.2905433,SOLUSDT
10,9,1980.8375983842238,64.89608588298347,-63.99377375831674,1.452707959744222,1.1755556598520747,1149,0,120,70,1.0,True,6946.274715095339,179.51024694390426,-61.15933242166183,1.7849507196173517,1.6150700064178012,39.77272727272727,88,0,704627471.5095339,AVAXUSDT
10,9,1798.6574031358064,64.33101671140565,-69.3011166699157,1.4503549423737878,1.1435822477620556,1097,0,120,80,1.0,True,2067.4745126457055,62.784947733462545,-51.01298972020718,1.9223162147985955,1.2549362289502626,40.49586776859504,121,0,216747451.26457053,BTCUSDT
10,9,1798.6574031358064,64.33101671140565,-69.3011166699157,1.4503549423737878,1.1435822477620556,1097,0,120,80,1.0,True,1077.0184308826429,47.778540272319404,-68.34926728958624,1.2230210491023596,0.9530949296094425,40.0,135,0,117701843.08826429,ETHUSDT
