assets,profitable_assets,median_return_pct,median_cagr_pct,median_mdd_pct,median_profit_factor,median_sharpe,total_trades,total_liquidations,entry_n,exit_n,leverage,robust_train
10,9,1909.9954063486946,63.77698948659104,-71.40633991018319,1.5103327257625145,1.1634761403873104,1011,0,130,90,1.0,True
10,10,1746.1879317974915,63.111533857687895,-62.796126854552654,1.486860499025744,1.1325156773834504,1058,0,160,60,1.0,True
10,10,1811.609045801655,62.297647711783725,-63.62397500960563,1.450042927528573,1.1466466364535606,1094,0,150,60,1.0,True
10,10,1736.1840057254003,61.32849524377451,-61.509746865075414,1.5435178792692752,1.0524608142153684,764,0,210,100,1.0,True
10,10,1771.4738587491834,61.21908785065342,-61.196204328956554,1.4736595850099856,1.0537350152559173,909,0,190,70,1.0,True
10,10,1861.5008083889047,61.188671446031684,-66.51196111483063,1.4684057404025084,1.1018488726151392,789,0,180,110,1.0,True
10,10,1741.4247524324824,60.97068498503333,-65.30133368926533,1.4868040364359476,1.0494679177755402,781,0,200,100,1.0,True
10,9,1529.348768053218,60.82445268171685,-66.74643409815701,1.4396216812745304,1.2418697657161806,1316,0,140,40,1.0,True
10,10,1815.1291466758146,60.54647282464131,-60.36838893296836,1.4539212186105144,1.040551568926583,869,0,190,80,1.0,True
10,10,1474.6571059022067,60.39301572729026,-66.44303555706341,1.474604409013515,1.2043717623806265,1273,0,150,40,1.0,True
10,9,1659.3016693611376,60.35743619072742,-68.75923842091248,1.46660853064146,1.0944077496467055,1270,0,130,50,1.0,True
10,10,1853.1407855341927,60.285577376535386,-61.7114505743168,1.5699727353224175,1.0931364057918889,1022,0,170,60,1.0,True
10,9,1642.0052568509082,60.14559416549024,-69.71372331897439,1.3998942745201526,1.1050240748577576,1057,0,120,90,1.0,True
10,10,1635.4060980540312,59.73032421461065,-64.63564988105082,1.4600101233688376,1.0593091377148496,804,0,190,100,1.0,True
10,10,1559.6505138433554,59.233480288938765,-61.93825483613384,1.4743449178246972,1.0205235130135746,842,0,200,80,1.0,True
10,9,1646.4445170672516,58.843814833277904,-68.6153264137411,1.4819098544362783,1.1518924706484515,1239,0,120,60,1.0,True
10,9,1469.1311391002323,58.78957971357526,-62.17668761243782,1.464431175114674,1.150927523933294,1177,0,150,50,1.0,True
10,10,1495.4511011022514,58.71409735228333,-69.89000527422488,1.3994337769968959,1.0856569606548447,737,0,190,120,1.0,True
10,10,1505.9045377293887,58.549673589965636,-54.92589359504862,1.512897216276728,1.0200261802569088,822,0,210,80,1.0,True
10,10,1500.736482457526,58.52006716088908,-59.21290019093074,1.4462887660214074,1.0225230069191182,881,0,200,70,1.0,True
10,10,1456.6897252608214,58.228164904059724,-59.103014898263325,1.486285450406093,1.1307364972130598,1139,0,160,50,1.0,True
10,10,1634.8846978258398,58.04890918806106,-66.68461716485575,1.4477995585470629,1.0536401815686987,751,0,200,110,1.0,True
10,10,1610.6847028143884,58.00356112601861,-69.24784947538618,1.368602799267301,1.0587368130270685,716,0,200,120,1.0,True
10,10,1694.6747403119368,57.908122117505485,-61.52604408290469,1.4756318236724661,1.0373995496777024,842,0,190,90,1.0,True
10,10,1638.2402813712242,57.903143256387594,-66.83526145041387,1.4294440986339771,1.0636365614990049,773,0,190,110,1.0,True
10,10,1617.212100695721,57.78581925130307,-62.704412313627586,1.5557897510427998,1.0647056720512682,998,0,180,60,1.0,True
10,10,1438.9651839133282,57.69852960590024,-58.75964381748498,1.4699464174857026,1.0176932851859557,860,0,210,70,1.0,True
10,10,1588.0792802828923,57.34930130436351,-60.78643226409609,1.5711121785997881,1.0306271668499989,750,0,220,100,1.0,True
10,10,1630.6692712351123,57.32435732638314,-58.60893986115438,1.5665072968426146,1.175667439560629,1187,0,170,40,1.0,True
10,9,1426.3902405415215,57.06482576215372,-67.82806067102854,1.4031225786771735,1.1515090454328165,1215,0,140,50,1.0,True
10,9,1183.0428677266552,56.79841041998212,-67.49315963126841,1.395158683483202,1.1912132905347106,1376,0,130,40,1.0,True
10,10,1439.903639380283,56.79651107916061,-63.43564166758443,1.498769254615481,1.0023480875561708,815,0,200,90,1.0,True
10,10,1404.8326534083862,56.77418488105312,-61.24133882048494,1.543840685732627,0.9971770942270229,797,0,210,90,1.0,True
10,9,1419.5772991716215,56.59254480204227,-70.09501362306051,1.4850115904502306,1.050891187806771,1338,0,120,50,1.0,True
10,10,1418.0635331342364,56.37750679749131,-59.88287873333384,1.5271199238363822,1.2069134993055353,1230,0,160,40,1.0,True
10,10,1464.0850148236063,56.17285904742275,-64.55413971889499,1.4257620169118148,1.069854571131715,703,0,210,120,1.0,True
10,10,1330.1531707895385,55.852086607415984,-55.677750729589825,1.5260651723626264,0.9970847806077292,806,0,220,80,1.0,True
