breadth_min,breadth_strong,breadth_ultra,base_total,strong_total,ultra_total,p1,p2,p3,trail1,trail2,trail3,edge,ultra_ema,cooldown,max_total,start,end,return_pct,multiple,mdd_pct,liquidated
0.4,0.6,0.7,0.9,1.2,1.8,1.25,1.7,2.2,0.14,0.11,0.09,0.035,1.1,24,2.5,2019-06-25 00:00:00+00:00,2021-06-24 00:00:00+00:00,16.300198487538587,1.1630019848753859,-20.18125986189122,0
0.4,0.6,0.7,0.9,1.2,1.8,1.25,1.7,2.2,0.14,0.11,0.09,0.035,1.1,24,2.5,2019-12-22 00:00:00+00:00,2021-12-21 00:00:00+00:00,-3.4677555145439243,0.9653224448545608,-20.799533953634587,0
0.4,0.6,0.7,0.9,1.2,1.8,1.25,1.7,2.2,0.14,0.11,0.09,0.035,1.1,24,2.5,2020-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,36.93456735360687,1.3693456735360687,-27.90709766877546,0
0.4,0.6,0.7,0.9,1.2,1.8,1.25,1.7,2.2,0.14,0.11,0.09,0.035,1.1,24,2.5,2020-12-16 00:00:00+00:00,2022-12-16 00:00:00+00:00,105.25167785572003,2.0525167785572003,-23.080736751446985,0
0.4,0.6,0.7,0.9,1.2,1.8,1.25,1.7,2.2,0.14,0.11,0.09,0.035,1.1,24,2.5,2021-06-14 00:00:00+00:00,2023-06-14 00:00:00+00:00,-19.918140729242495,0.800818592707575,-20.246698175579425,0
0.4,0.6,0.7,0.9,1.2,1.8,1.25,1.7,2.2,0.14,0.11,0.09,0.035,1.1,24,2.5,2021-12-11 00:00:00+00:00,2023-12-11 00:00:00+00:00,-17.509173526523945,0.8249082647347605,-20.40037679196429,0
0.4,0.6,0.7,0.9,1.2,1.8,1.25,1.7,2.2,0.14,0.11,0.09,0.035,1.1,24,2.5,2022-06-09 00:00:00+00:00,2024-06-08 00:00:00+00:00,-18.014084197509117,0.8198591580249088,-20.504369487116325,0
0.4,0.6,0.7,0.9,1.2,1.8,1.25,1.7,2.2,0.14,0.11,0.09,0.035,1.1,24,2.5,2022-12-06 00:00:00+00:00,2024-12-05 00:00:00+00:00,26.599803520819208,1.265998035208192,-23.04071411837412,0
0.4,0.6,0.7,0.9,1.2,1.8,1.25,1.7,2.2,0.14,0.11,0.09,0.035,1.1,24,2.5,2023-06-04 00:00:00+00:00,2025-06-03 00:00:00+00:00,-16.973176650332345,0.8302682334966766,-20.274912962437895,0
0.4,0.6,0.7,0.9,1.2,1.8,1.25,1.7,2.2,0.14,0.11,0.09,0.035,1.1,24,2.5,2023-12-01 00:00:00+00:00,2025-11-30 00:00:00+00:00,113.44543716084065,2.1344543716084066,-20.469420991879005,0
0.4,0.6,0.7,0.9,1.2,1.8,1.25,1.7,2.2,0.14,0.11,0.09,0.035,1.1,24,2.5,2024-05-29 00:00:00+00:00,2026-05-29 00:00:00+00:00,-17.12159672345178,0.8287840327654822,-20.314764629125758,0
0.4,0.6,0.7,0.9,1.2,1.8,1.25,1.7,2.2,0.18,0.14,0.1,0.035,1.1,24,2.5,2018-01-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,146.23206833285477,2.4623206833285476,-23.520284256662972,0
0.4,0.6,0.7,0.9,1.2,1.8,1.25,1.7,2.2,0.18,0.14,0.1,0.035,1.1,24,2.5,2018-06-30 00:00:00+00:00,2020-06-29 00:00:00+00:00,7.957826650226418,1.0795782665022642,-20.314808143873265,0
0.4,0.6,0.7,0.9,1.2,1.8,1.25,1.7,2.2,0.18,0.14,0.1,0.035,1.1,24,2.5,2018-12-27 00:00:00+00:00,2020-12-26 00:00:00+00:00,-22.40442383709813,0.7759557616290187,-23.711113221535317,0
0.4,0.6,0.7,0.9,1.2,1.8,1.25,1.7,2.2,0.18,0.14,0.1,0.035,1.1,24,2.5,2019-06-25 00:00:00+00:00,2021-06-24 00:00:00+00:00,16.300198487538587,1.1630019848753859,-20.18125986189122,0
0.4,0.6,0.7,0.9,1.2,1.8,1.25,1.7,2.2,0.18,0.14,0.1,0.035,1.1,24,2.5,2019-12-22 00:00:00+00:00,2021-12-21 00:00:00+00:00,-3.4677555145439243,0.9653224448545608,-20.799533953634587,0
0.4,0.6,0.7,0.9,1.2,1.8,1.25,1.7,2.2,0.18,0.14,0.1,0.035,1.1,24,2.5,2020-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,36.93456735360687,1.3693456735360687,-27.90709766877546,0
0.4,0.6,0.7,0.9,1.2,1.8,1.25,1.7,2.2,0.18,0.14,0.1,0.035,1.1,24,2.5,2020-12-16 00:00:00+00:00,2022-12-16 00:00:00+00:00,105.25167785572003,2.0525167785572003,-23.080736751446985,0
